carn1,carn2,cytb,mitogenome
Urocyon_cinereoargenteus,Nyctereutes_procyonoides,0.179,0.14569448
Urocyon_cinereoargenteus,Otocyon_megalotis,0.181,0.14570458
Urocyon_cinereoargenteus,Vulpes_lagopus,0.214,0.1440113
Urocyon_cinereoargenteus,Vulpes_zerda,0.196,0.14838754
Urocyon_cinereoargenteus,Vulpes_vulpes,0.159,0.14454992
Urocyon_cinereoargenteus,Speothos_venaticus,0.189,0.15310735
Urocyon_cinereoargenteus,Canis_latrans,0.186,0.14226082
Urocyon_cinereoargenteus,Cuon_alpinus,0.2,0.15036917
Urocyon_cinereoargenteus,Lycaon_pictus,0.178,0.15209682
Urocyon_cinereoargenteus,Lupulella_mesomelas,0.201,0.14654979
Urocyon_cinereoargenteus,Lupulella_adusta,0.183,0.13661675
Urocyon_cinereoargenteus,Canis_aureus,0.168,0.14443775
Urocyon_cinereoargenteus,Chrysocyon_brachyurus,0.199,0.14739726
Nyctereutes_procyonoides,Otocyon_megalotis,0.177,0.1391038
Nyctereutes_procyonoides,Vulpes_lagopus,0.171,0.13539353
Nyctereutes_procyonoides,Vulpes_zerda,0.184,0.13472027
Nyctereutes_procyonoides,Vulpes_vulpes,0.17,0.13714401
Nyctereutes_procyonoides,Speothos_venaticus,0.235,0.14624061
Nyctereutes_procyonoides,Canis_latrans,0.196,0.13519154
Nyctereutes_procyonoides,Cuon_alpinus,0.196,0.14680761
Nyctereutes_procyonoides,Lycaon_pictus,0.183,0.1440179
Nyctereutes_procyonoides,Lupulella_mesomelas,0.175,0.13662739
Nyctereutes_procyonoides,Lupulella_adusta,0.184,0.13451122
Nyctereutes_procyonoides,Canis_aureus,0.196,0.13711531
Nyctereutes_procyonoides,Chrysocyon_brachyurus,0.199,0.14099646
Otocyon_megalotis,Vulpes_lagopus,0.198,0.13647892
Otocyon_megalotis,Vulpes_zerda,0.151,0.13876989
Otocyon_megalotis,Vulpes_vulpes,0.16,0.13849859
Otocyon_megalotis,Speothos_venaticus,0.222,0.14793015
Otocyon_megalotis,Canis_latrans,0.165,0.13614045
Otocyon_megalotis,Cuon_alpinus,0.141,0.14169435
Otocyon_megalotis,Lycaon_pictus,0.176,0.14584135
Otocyon_megalotis,Lupulella_mesomelas,0.145,0.13984574
Otocyon_megalotis,Lupulella_adusta,0.145,0.13652189
Otocyon_megalotis,Canis_aureus,0.142,0.13814998
Otocyon_megalotis,Chrysocyon_brachyurus,0.179,0.14188126
Vulpes_lagopus,Vulpes_zerda,0.178,0.10125901
Vulpes_lagopus,Vulpes_vulpes,0.164,0.08510065
Vulpes_lagopus,Speothos_venaticus,0.238,0.14785568
Vulpes_lagopus,Canis_latrans,0.184,0.13707669
Vulpes_lagopus,Cuon_alpinus,0.206,0.14471334
Vulpes_lagopus,Lycaon_pictus,0.227,0.14664856
Vulpes_lagopus,Lupulella_mesomelas,0.192,0.14240423
Vulpes_lagopus,Lupulella_adusta,0.218,0.13292418
Vulpes_lagopus,Canis_aureus,0.204,0.13658413
Vulpes_lagopus,Chrysocyon_brachyurus,0.25,0.14496891
Vulpes_zerda,Vulpes_vulpes,0.136,0.09802733
Vulpes_zerda,Speothos_venaticus ,0.136,0.14644141
Vulpes_zerda,Canis_latrans,0.148,0.13633609
Vulpes_zerda,Cuon_alpinus,0.161,0.14397703
Vulpes_zerda,Lycaon_pictus,0.169,0.14462306
Vulpes_zerda,Lupulella_mesomelas,0.17,0.14146812
Vulpes_zerda,Lupulella_adusta,0.132,0.13359468
Vulpes_zerda,Canis_aureus,0.143,0.13669686
Vulpes_zerda,Chrysocyon_brachyurus,0.179,0.14537141
Vulpes_vulpes,Speothos_venaticus,0.179,0.14522965
Vulpes_vulpes,Canis_latrans,0.154,0.13633609
Vulpes_vulpes,Cuon_alpinus,0.15,0.14350575
Vulpes_vulpes,Lycaon_pictus,0.179,0.14584059
Vulpes_vulpes,Lupulella_mesomelas,0.168,0.14044291
Vulpes_vulpes,Lupulella_adusta,0.168,0.13123612
Vulpes_vulpes,Canis_aureus,0.155,0.13550073
Vulpes_vulpes,Chrysocyon_brachyurus,0.204,0.14375703
Speothos_venaticus,Canis_latrans,0.12,0.10745759
Speothos_venaticus,Cuon_alpinus,0.15,0.113674
Speothos_venaticus,Lycaon_pictus,0.121,0.11150153
Speothos_venaticus,Lupulella_mesomelas,0.15,0.11035958
Speothos_venaticus,Lupulella_adusta,0.137,0.10676356
Speothos_venaticus,Canis_aureus,0.137,0.11014017
Speothos_venaticus,Chrysocyon_brachyurus,0.146,0.11258615
Canis_latrans,Cuon_alpinus,0.102,0.08370287
Canis_latrans,Lycaon_pictus,0.136,0.09580901
Canis_latrans,Lupulella_mesomelas,0.099,0.07119527
Canis_latrans,Lupulella_adusta,0.078,0.08491793
Canis_latrans,Canis_aureus,0.069,0.04035241
Canis_latrans,Chrysocyon_brachyurus,0.123,0.10194567
Cuon_alpinus,Lycaon_pictus,0.117,0.10249942
Cuon_alpinus,Lupulella_mesomelas,0.099,0.09059604
Cuon_alpinus,Lupulella_adusta,0.097,0.09758973
Cuon_alpinus,Canis_aureus,0.1,0.08571012
Cuon_alpinus,Chrysocyon_brachyurus,0.13,0.11166325
Lycaon_pictus,Lupulella_mesomelas,0.127,0.09997846
Lycaon_pictus,Lupulella_adusta,0.134,0.0988751
Lycaon_pictus,Canis_aureus,0.134,0.09461787
Lycaon_pictus,Chrysocyon_brachyurus,0.146,0.11029693
Lupulella_mesomelas,Lupulella_adusta,0.094,0.08884515
Lupulella_mesomelas,Canis_aureus,0.101,0.07434006
Lupulella_mesomelas,Chrysocyon_brachyurus,0.114,0.10655015
Lupulella_adusta,Canis_aureus,0.092,0.10408285
Lupulella_adusta,Chrysocyon_brachyurus,0.113,0.08572612
Canis_aureus,Chrysocyon_brachyurus,0.102,0.10319321
